sid,state,year,effyear,treat,post,l_homicide,popwt
1,Alabama,2005,2006.0,1,0,2.1304405,4.499293e+06
1,Alabama,2006,2006.0,1,1,2.0796523,4.499293e+06
2,Alaska,2005,2006.0,1,0,1.6067477,651473.25
2,Alaska,2006,2006.0,1,1,1.6813323,651473.25
3,Arizona,2005,2006.0,1,0,2.0324998,5.8029645e+06
3,Arizona,2006,2006.0,1,1,2.1436143,5.8029645e+06
4,Arkansas,2005,,0,0,1.9453803,2.7329025e+06
4,Arkansas,2006,,0,1,2.0157783,2.7329025e+06
5,California,2005,,0,0,1.9593788,3.531197e+07
5,California,2006,,0,1,1.9213043,3.531197e+07
6,Colorado,2005,,0,0,1.332892,4.6003715e+06
6,Colorado,2006,,0,1,1.2802231,4.6003715e+06
7,Connecticut,2005,,0,0,1.1291449,3.4244742e+06
7,Connecticut,2006,,0,1,1.3632598,3.4244742e+06
8,Delaware,2005,,0,0,1.5085084,822992.0
8,Delaware,2006,,0,1,1.5935224,822992.0
11,Georgia,2005,2006.0,1,0,1.8553178,8.871351e+06
11,Georgia,2006,2006.0,1,1,1.8805436,8.871351e+06
12,Hawaii,2005,,0,0,0.66184396,1.2481839e+06
12,Hawaii,2006,,0,1,0.49079114,1.2481839e+06
13,Idaho,2005,,0,0,0.91941416,1.4016759e+06
13,Idaho,2006,,0,1,0.780296,1.4016759e+06
14,Illinois,2005,,0,0,1.8228601,1.2520122e+07
14,Illinois,2006,,0,1,1.8047692,1.2520122e+07
15,Indiana,2005,2006.0,1,0,1.7651441,6.1582755e+06
15,Indiana,2006,2006.0,1,1,1.7463658,6.1582755e+06
16,Iowa,2005,,0,0,0.33458462,2.9070602e+06
16,Iowa,2006,,0,1,0.6478435,2.9070602e+06
17,Kansas,2005,2006.0,1,0,1.3332263,2.7020632e+06
17,Kansas,2006,2006.0,1,1,1.5248959,2.7020632e+06
18,Kentucky,2005,2006.0,1,0,1.5435928,4.105912e+06
18,Kentucky,2006,2006.0,1,1,1.437035,4.105912e+06
19,Louisiana,2005,2006.0,1,0,2.327391,4.3653115e+06
19,Louisiana,2006,2006.0,1,1,2.5731504,4.3653115e+06
20,Maine,2005,,0,0,0.39212835,1.2892116e+06
20,Maine,2006,,0,1,0.5540857,1.2892116e+06
21,Maryland,2005,,0,0,2.3132727,5.4712895e+06
21,Maryland,2006,,0,1,2.2744627,5.4712895e+06
22,Massachusetts,2005,,0,0,1.0574175,6.315575e+06
22,Massachusetts,2006,,0,1,1.0717643,6.315575e+06
23,Michigan,2005,2006.0,1,0,1.852494,9.905407e+06
23,Michigan,2006,2006.0,1,1,1.9687202,9.905407e+06
24,Minnesota,2005,,0,0,0.83494157,5.031185e+06
24,Minnesota,2006,,0,1,0.8992902,5.031185e+06
25,Mississippi,2005,2006.0,1,0,2.0251813,2.8471168e+06
25,Mississippi,2006,2006.0,1,1,2.0758135,2.8471168e+06
28,Nebraska,2005,,0,0,0.9468811,1.7255089e+06
28,Nebraska,2006,,0,1,1.0976707,1.7255089e+06
29,Nevada,2005,,0,0,2.1576526,2.3476585e+06
29,Nevada,2006,,0,1,2.2034492,2.3476585e+06
30,New Hampshire,2005,,0,0,0.40088144,1.274359e+06
30,New Hampshire,2006,,0,1,-0.011392572,1.274359e+06
31,New Jersey,2005,,0,0,1.5879173,8.530271e+06
31,New Jersey,2006,,0,1,1.5880568,8.530271e+06
32,New Mexico,2005,,0,0,2.032134,1.8949931e+06
32,New Mexico,2006,,0,1,1.9544835,1.8949931e+06
33,New York,2005,,0,0,1.5443664,1.8912244e+07
33,New York,2006,,0,1,1.5657016,1.8912244e+07
34,North Carolina,2005,,0,0,1.9394815,8.53345e+06
34,North Carolina,2006,,0,1,1.8078319,8.53345e+06
37,Oklahoma,2005,2006.0,1,0,1.6949445,3.490586e+06
37,Oklahoma,2006,2006.0,1,1,1.7598103,3.490586e+06
38,Oregon,2005,,0,0,0.8096504,3.5816582e+06
38,Oregon,2006,,0,1,0.8662141,3.5816582e+06
39,Pennsylvania,2005,,0,0,1.8422889,1.2172547e+07
39,Pennsylvania,2006,,0,1,1.7951869,1.2172547e+07
40,Rhode Island,2005,,0,0,1.1916355,1.04203956e+06
40,Rhode Island,2006,,0,1,0.92782927,1.04203956e+06
41,South Carolina,2005,2006.0,1,0,2.0324216,4.1833172e+06
41,South Carolina,2006,2006.0,1,1,2.1282732,4.1833172e+06
42,South Dakota,2005,2006.0,1,0,0.8807721,761746.56
42,South Dakota,2006,2006.0,1,1,1.3107148,761746.56
45,Utah,2005,,0,0,0.83596647,2.4497455e+06
45,Utah,2006,,0,1,0.7125405,2.4497455e+06
46,Vermont,2005,,0,0,0.28387263,608010.25
46,Vermont,2006,,0,1,0.80822456,608010.25
47,Virginia,2005,,0,0,1.8319528,7.3820675e+06
47,Virginia,2006,,0,1,1.6625764,7.3820675e+06
48,Washington,2005,,0,0,1.2045684,6.1891675e+06
48,Washington,2006,,0,1,1.1249774,6.1891675e+06
50,Wisconsin,2005,,0,0,1.3433927,5.4340865e+06
50,Wisconsin,2006,,0,1,1.0883908,5.4340865e+06
51,Wyoming,2005,,0,0,1.0392133,504780.2
51,Wyoming,2006,,0,1,0.92594486,504780.2
